"temp_C","mass_mg"
427.973,31.9756
428.383,31.9277
428.793,31.8797
429.205,31.8319
429.628,31.7841
430.042,31.7364
430.454,31.6885
430.863,31.6404
431.279,31.592
431.701,31.5431
432.116,31.4936
432.52,31.4445
432.952,31.3957
433.362,31.3469
433.774,31.2986
434.182,31.2509
434.605,31.2038
435.02,31.1572
435.436,31.1121
435.852,31.0657
436.269,31.0188
436.674,30.9715
437.099,30.9235
437.515,30.875
437.928,30.8257
438.349,30.7761
438.768,30.7247
439.183,30.6738
439.599,30.6228
440.012,30.5716
440.425,30.5198
440.844,30.4683
441.258,30.4167
441.678,30.365
442.091,30.3136
442.511,30.2619
442.934,30.2099
443.339,30.1578
443.757,30.1056
444.178,30.0535
444.6,30.0014
445.013,29.9494
445.428,29.8974
445.842,29.8456
446.268,29.7941
446.68,29.7431
447.1,29.694
447.517,29.6445
447.932,29.5944
448.353,29.5439
448.772,29.4942
449.191,29.4432
449.612,29.3914
450.022,29.3393
450.439,29.285
450.858,29.2317
451.272,29.1785
451.691,29.1252
452.116,29.0713
452.523,29.0174
452.94,28.9637
453.362,28.9102
453.786,28.8571
454.198,28.8046
454.621,28.7522
455.032,28.7
455.455,28.6479
455.874,28.5962
456.29,28.5434
456.7,28.4899
457.115,28.4361
457.536,28.3813
457.952,28.3277
458.374,28.2745
458.788,28.2212
459.212,28.1683
459.623,28.1156
460.04,28.0631
460.46,28.0104
460.876,27.9568
461.294,27.9032
461.71,27.85
462.128,27.7971
462.542,27.7436
462.958,27.6904
463.373,27.637
463.787,27.5837
464.202,27.5307
464.617,27.4775
465.032,27.4242
465.451,27.3709
465.867,27.3167
466.28,27.2622
466.69,27.2075
467.106,27.1528
467.53,27.0974
467.939,27.0426
468.354,26.9881
468.768,26.9337
469.179,26.88
469.586,26.8262
469.998,26.7726
470.414,26.7191
470.829,26.6663
471.241,26.6135
471.657,26.5607
472.063,26.5079
472.481,26.4553
472.887,26.4021
473.307,26.3486
473.715,26.2947
474.126,26.2404
474.545,26.1869
474.94,26.134
